epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.35397,1.68993,4.34906,1.58822,0.0052,0.14717,0.01147,0.00534,1.52686,4.07473,1.38947,0.00012304,0.00012304,0.00012304
2,15.3303,1.58581,3.25051,1.41595,0.00878,0.28288,0.0259,0.01332,1.51516,3.89327,1.30058,0.000248745,0.000248745,0.000248745
3,21.757,1.57978,2.81435,1.36793,0.40311,0.12168,0.0684,0.03757,1.54221,3.77033,1.2821,0.000369274,0.000369274,0.000369274
4,30.4392,1.49392,2.46306,1.31349,0.80209,0.05515,0.08357,0.04399,1.58673,3.53009,1.25494,0.000484625,0.000484625,0.000484625
5,37.4597,1.47968,2.3385,1.26602,0.68981,0.06336,0.08284,0.05062,1.59201,3.45886,1.34945,0.0005948,0.0005948,0.0005948
6,46.5153,1.49059,2.2372,1.29663,0.06055,0.10154,0.09211,0.05248,1.57223,3.35711,1.36078,0.000692869,0.000692869,0.000692869
7,56.4206,1.44118,2.20795,1.27252,0.3821,0.05742,0.05741,0.03328,1.63027,3.62118,1.49095,0.000677643,0.000677643,0.000677643
8,65.8142,1.49364,2.11875,1.29143,0.80154,0.04044,0.06085,0.03096,1.71835,3.63995,1.563,0.000662417,0.000662417,0.000662417
9,73.5142,1.4311,1.98099,1.24057,0.17848,0.19258,0.11609,0.06071,1.59873,3.43945,1.39978,0.00064719,0.00064719,0.00064719
10,80.4439,1.39921,1.84184,1.21304,0.10271,0.18297,0.16342,0.08513,1.61853,3.08298,1.33736,0.000631964,0.000631964,0.000631964
11,89.2216,1.40395,1.77458,1.23097,0.21447,0.16828,0.17147,0.09221,1.6514,3.0639,1.32139,0.000616738,0.000616738,0.000616738
12,96.5438,1.41461,1.80298,1.24242,0.21195,0.22772,0.19867,0.1074,1.59273,3.26492,1.32654,0.000601512,0.000601512,0.000601512
13,104.52,1.34048,1.7569,1.20629,0.21234,0.26698,0.21156,0.10308,1.68001,3.07596,1.3651,0.000586286,0.000586286,0.000586286
14,112.353,1.35554,1.63085,1.20217,0.21348,0.23164,0.19277,0.09372,1.6211,3.14632,1.33214,0.000571059,0.000571059,0.000571059
15,120.981,1.33503,1.63846,1.22369,0.18145,0.2185,0.18738,0.10072,1.63852,3.13743,1.3409,0.000555833,0.000555833,0.000555833
16,128.159,1.33358,1.57827,1.18916,0.15273,0.22428,0.19515,0.10828,1.62893,3.17201,1.3026,0.000540607,0.000540607,0.000540607
17,135.736,1.31147,1.56296,1.1871,0.31234,0.23163,0.19151,0.09222,1.69707,3.197,1.37893,0.000525381,0.000525381,0.000525381
18,144.264,1.29178,1.53464,1.20986,0.27133,0.25722,0.20408,0.11213,1.65936,3.23957,1.39684,0.000510155,0.000510155,0.000510155
19,152.235,1.24471,1.543,1.1782,0.28448,0.23908,0.21661,0.11281,1.66142,3.2069,1.3796,0.000494928,0.000494928,0.000494928
20,160.472,1.23311,1.44946,1.15609,0.23123,0.21309,0.19161,0.09299,1.63798,3.45073,1.36227,0.000479702,0.000479702,0.000479702
21,169.125,1.25101,1.4192,1.15516,0.24275,0.24438,0.19319,0.09858,1.69551,3.37481,1.39563,0.000464476,0.000464476,0.000464476
22,176.245,1.21664,1.41766,1.1472,0.1552,0.25231,0.19411,0.10079,1.67424,3.67753,1.42343,0.00044925,0.00044925,0.00044925
23,185.021,1.2188,1.38991,1.13251,0.17559,0.22869,0.18698,0.09831,1.66136,3.27648,1.42639,0.000434024,0.000434024,0.000434024
24,192.403,1.20391,1.34088,1.13974,0.46732,0.20498,0.19635,0.10767,1.62442,3.21816,1.36738,0.000418797,0.000418797,0.000418797
25,200.65,1.16407,1.32191,1.11774,0.15665,0.26976,0.18759,0.09916,1.61248,3.26899,1.3253,0.000403571,0.000403571,0.000403571
26,207.734,1.20401,1.29326,1.12169,0.26122,0.23144,0.20673,0.11299,1.65001,3.21243,1.35758,0.000388345,0.000388345,0.000388345
27,216.065,1.18276,1.33243,1.12444,0.30559,0.21763,0.20607,0.11399,1.66194,3.3167,1.34249,0.000373119,0.000373119,0.000373119
